is_primary_school,is_middle_school,distance_to_subway_station,distance_to_bus_station,distance_to_parking_lot,distance_to_coach_station
0,1,66.31,0.17,0.17,1.94
0,1,67.49,0.08,0.25,2.19
1,0,67.15,0.34,0.34,2.53
1,0,71.62,0.17,1.01,4.05
0,1,71.71,0.08,1.01,3.96
1,0,5.31,0.34,0.25,8.18
1,0,4.81,0.08,0.17,9.87
0,1,4.81,0.51,1.18,9.45
1,0,5.15,0.42,1.10,8.94
1,0,1.86,0.34,0.34,5.91
0,1,1.27,0.59,0.84,5.91
1,0,1.27,0.51,0.93,5.99
0,1,0.84,0.42,0.76,5.74
1,0,3.71,0.08,0.42,2.87
1,0,2.70,0.17,0.08,2.02
0,1,0.17,0.00,0.08,8.52
1,0,0.17,0.00,0.08,8.60
0,1,0.51,0.08,0.17,9.70
0,1,0.17,0.17,0.17,10.04
0,1,0.42,0.25,0.17,10.38
1,0,0.59,0.08,0.00,10.04
1,0,1.10,0.08,0.08,10.80
1,0,1.10,0.08,0.00,10.71
0,1,2.62,0.17,0.17,7.68
1,0,2.70,0.34,0.34,7.59
0,1,1.52,0.34,0.93,7.51
1,0,0.34,0.25,0.25,7.93
0,1,63.86,0.08,0.25,3.12
0,1,66.22,0.34,0.17,2.53
1,0,69.77,0.17,1.69,5.23
1,0,3.80,0.17,0.59,9.36
0,1,4.47,0.25,0.25,9.28
1,0,2.70,0.08,0.51,5.91
1,0,0.93,0.17,0.17,3.88
1,0,1.60,0.17,1.10,4.05
1,0,1.35,0.25,0.84,3.80
1,0,2.28,0.17,0.25,2.62
0,1,3.12,0.08,0.17,2.87
0,1,1.69,0.08,0.17,4.05
1,0,1.69,0.08,0.08,4.30
1,0,1.60,0.00,0.08,4.39
0,1,1.60,0.17,0.17,4.05
1,0,0.84,0.17,0.17,8.60
1,0,0.84,0.17,0.17,8.52
1,0,0.93,0.17,0.17,9.45
1,0,1.35,0.17,0.08,9.36
1,0,1.69,0.08,0.08,10.21
1,0,1.43,0.08,0.00,10.71
1,0,1.43,0.17,0.00,10.55
0,1,4.81,0.42,1.10,5.48
1,0,2.11,0.25,1.27,7.51
1,0,2.62,0.08,0.93,4.05
0,1,70.36,0.51,1.01,5.40
1,0,3.37,0.17,1.10,7.25
1,0,2.02,0.42,0.51,4.81
1,0,1.43,0.17,0.34,4.30
1,0,1.94,0.42,0.25,4.72
0,1,2.53,0.42,0.08,1.94
1,0,2.45,0.42,0.08,2.02
1,0,2.70,0.42,0.08,1.94
0,1,2.62,0.25,0.08,1.77
0,1,1.86,0.17,0.17,4.56
1,0,0.67,0.17,0.25,5.40
1,0,0.67,0.17,0.25,5.40
1,0,1.60,0.08,0.17,8.10
0,1,1.60,0.08,0.08,9.62
0,1,2.19,0.25,0.17,9.03
1,0,2.28,0.08,0.17,9.11
1,0,2.28,0.08,0.17,9.11
1,0,2.87,0.51,0.08,8.10
0,1,11.98,0.25,1.10,3.37
1,0,12.06,0.17,1.27,3.37
1,0,2.62,0.42,1.27,8.52
1,0,64.96,0.42,0.51,4.30
1,0,66.31,1.10,0.51,4.64
1,0,2.70,0.17,0.93,8.52
1,0,2.36,1.27,0.17,9.79
0,1,2.78,0.42,0.25,8.60
1,0,2.02,0.08,0.51,6.83
1,0,1.94,0.08,0.51,6.83
1,0,0.59,0.34,0.17,3.46
0,1,1.35,0.08,0.00,2.53
0,1,1.35,0.08,0.08,2.45
0,1,3.04,0.17,0.08,6.07
0,1,2.70,0.25,0.25,4.64
0,1,2.87,0.17,0.25,9.62
0,1,7.09,0.25,0.08,3.04
0,1,1.52,0.17,0.00,5.40
0,1,0.42,0.17,0.17,1.01
1,0,1.94,0.17,0.08,0.25
1,0,0.34,0.34,0.25,2.45
0,1,18.73,0.08,0.08,4.30
0,1,1.94,0.08,0.08,5.57
1,0,2.70,0.34,0.25,3.80
1,0,1.69,0.17,0.17,3.46
1,0,7.00,0.17,0.17,3.37
1,0,6.92,0.17,4.72,9.11
1,0,4.72,0.25,3.88,8.01
1,0,4.81,0.17,3.88,8.10
1,0,63.35,0.08,1.60,5.99
1,0,65.46,0.59,1.94,6.50
1,0,1.35,0.25,0.51,6.92
1,0,1.35,0.25,0.51,6.92
1,0,0.42,0.17,0.08,6.58
0,1,1.10,0.34,0.17,7.17
0,1,1.10,0.51,1.01,7.17
0,1,1.18,0.59,1.10,7.25
1,0,1.27,0.76,1.10,7.34
1,0,1.86,0.34,0.42,4.47
1,0,1.43,0.25,0.17,1.69
0,1,0.84,0.17,0.17,1.18
0,1,0.76,0.08,0.08,1.10
1,0,0.67,0.08,0.08,1.27
1,0,0.67,0.17,0.08,1.43
1,0,0.51,0.08,0.08,1.86
1,0,0.51,0.08,0.08,1.86
0,1,1.01,0.08,0.17,1.52
1,0,1.01,0.00,0.08,1.35
1,0,0.25,0.08,0.08,1.18
0,1,1.18,0.08,0.08,3.63
1,0,2.78,0.42,1.18,4.47
0,1,5.40,0.42,4.39,7.93
0,1,1.52,0.25,0.25,5.82
1,0,1.10,0.17,0.42,5.82
1,0,0.93,0.67,0.34,5.65
1,0,0.84,0.76,0.34,5.65
1,0,0.51,0.17,1.35,8.18
1,0,0.51,0.42,0.25,6.07
1,0,0.42,0.34,0.17,6.24
1,0,0.42,0.34,0.25,5.23
1,0,1.94,0.17,0.08,3.37
0,1,0.93,0.17,0.17,0.76
1,0,0.84,0.25,0.00,1.35
1,0,0.59,0.00,0.08,1.52
1,0,0.67,0.08,0.17,2.45
1,0,0.67,0.08,0.17,2.45
0,1,15.78,0.25,0.08,2.36
1,0,0.51,0.25,0.17,2.02
1,0,1.10,0.42,0.17,2.11
1,0,1.18,0.67,0.08,1.69
1,0,0.59,0.17,0.08,4.30
0,1,0.84,0.76,0.51,4.39
1,0,0.17,0.17,0.00,1.18
0,1,1.69,0.08,0.08,1.27
0,1,13.33,0.17,1.18,3.21
1,0,13.24,0.17,1.18,3.21
1,0,1.35,0.34,0.42,11.64
1,0,1.18,0.51,0.76,4.64
1,0,1.18,0.17,0.25,5.15
1,0,0.84,0.25,0.17,0.51
0,1,1.10,0.17,0.17,0.93
1,0,1.43,0.25,0.17,1.43
1,0,15.35,0.08,0.25,2.87
